time	angle	speed	accelerator position
124.96	-9	49.15625	3
124.97	-9	49.15625	3
124.98	-9	49.15625	3
124.99	-9	49.15625	3
125.00	-9	49.15625	3
125.01	-9	49.0875	3
125.02	-9	49.0875	3
125.03	-9	49.0875	3
125.04	-9	49.0875	3
125.05	-9	49.15625	3
125.06	-9	49.15625	3
125.07	-9.1	49.15625	3
125.08	-9	49.15625	3
125.09	-9	49.225	3
125.10	-9	49.225	3
125.11	-9.1	49.225	4
125.12	-9.1	49.225	4
125.13	-9.1	49.225	4
125.14	-9.1	49.225	4
125.15	-9.2	49.15625	4
125.16	-9.3	49.15625	4
125.17	-9.4	49.15625	4
125.18	-9.4	49.15625	4
125.19	-9.4	49.0875	4
125.20	-9.4	49.0875	4
125.21	-9.4	49.15625	4
125.22	-9.4	49.15625	4
125.23	-9.4	49.225	4
125.24	-9.4	49.225	4
125.25	-9.4	49.3625	4
125.26	-9.4	49.3625	4
125.27	-9.4	49.3625	4
125.28	-9.4	49.3625	4
125.29	-9.4	49.3625	4
125.30	-9.4	49.3625	4
125.31	-9.4	49.225	4
125.32	-9.3	49.225	4
125.33	-9.2	49.15625	4
125.34	-9.1	49.15625	4
125.35	-9.1	49.15625	4
125.36	-9	49.15625	4
125.37	-9	49.29375	4
125.38	-8.9	49.29375	4
125.39	-8.9	49.3625	4
125.40	-8.9	49.3625	4
125.41	-8.8	49.3625	4
125.42	-8.8	49.3625	4
125.43	-8.8	49.43125	4
125.44	-8.7	49.43125	4
125.45	-8.7	49.5	4
125.46	-8.7	49.5	4
125.47	-8.6	49.43125	4
125.48	-8.6	49.43125	4
125.49	-8.5	49.43125	4
125.50	-8.4	49.43125	4
125.51	-8.4	49.3625	7
125.52	-8.3	49.3625	7
125.53	-8.3	49.5	7
125.54	-8.2	49.5	7
125.55	-8.2	49.5	7
125.56	-8.1	49.5	7
125.57	-8	49.56875	7
125.58	-8	49.56875	7
125.59	-7.9	49.6375	7
125.60	-7.8	49.6375	7
125.61	-7.8	49.6375	7
125.62	-7.7	49.6375	7
125.63	-7.7	49.56875	7
125.64	-7.7	49.56875	7
125.65	-7.7	49.56875	7
125.66	-7.7	49.56875	7
125.67	-7.7	49.5	7
125.68	-7.7	49.5	7
125.69	-7.7	49.5	7
125.70	-7.7	49.5	7
125.71	-7.7	49.6375	7
125.72	-7.7	49.6375	7
125.73	-7.7	49.6375	7
125.74	-7.7	49.6375	7
125.75	-7.7	49.775	7
125.76	-7.7	49.775	7
125.77	-7.7	49.775	7
125.78	-7.7	49.775	7
125.79	-7.7	49.70625	7
125.80	-7.7	49.70625	7
125.81	-7.7	49.6375	7
125.82	-7.7	49.6375	7
125.83	-7.7	49.6375	7
125.84	-7.7	49.6375	7
125.85	-7.7	49.775	7
125.86	-7.7	49.775	7
125.87	-7.7	49.775	7
125.88	-7.7	49.775	7
125.89	-7.7	49.775	7
125.90	-7.7	49.775	7
125.91	-7.7	49.84375	6
