time,angle,time,speed,time,accelerator position,time,brake position
121.341330176,-5.4,122.69307008,47.50625,138.516470016,20,138.5164700160,0
121.351340032,-5.4,122.712570112,47.64375,138.616720128,20,138.6167201280,0
121.361330176,-5.4,122.73307008,47.64375,138.71659008,21,138.7165900800,0
121.371330048,-5.5,122.752570112,47.64375,138.818340096,21,138.8183400960,0
121.381330176,-5.5,122.772570112,47.64375,138.917840128,21,138.9178401280,0
121.391340032,-5.5,122.792570112,47.7125,139.01659008,21,139.0165900800,0
121.401330176,-5.5,122.812690176,47.7125,139.11771008,20,139.1177100800,0
121.411330048,-5.5,122.832570112,47.64375,139.217590016,19,139.2175900160,0
121.42134016,-5.5,122.852570112,47.50625,139.31771008,17,139.3177100800,0
121.431340032,-5.5,122.872690176,47.575,139.417840128,17,139.4178401280,0
121.441330176,-5.5,122.892560128,47.64375,139.517090048,18,139.5170900480,0
121.451340032,-5.5,122.912570112,47.7125,139.616580096,21,139.6165800960,0
121.461330176,-5.5,122.932940032,47.7125,139.716580096,22,139.7165800960,0
121.471330048,-5.5,122.952690176,47.7125,139.816830208,23,139.8168302080,0
121.481330176,-5.5,122.972570112,47.7125,140.01771008,25,140.0177100800,0
121.491340032,-5.5,122.992560128,47.64375,140.11771008,26,140.1177100800,0
121.501330176,-5.5,123.012940032,47.64375,140.217960192,28,140.2179601920,0
121.511320064,-5.5,123.032570112,47.575,140.317210112,28,140.3172101120,0
121.521330176,-5.5,123.052570112,47.7125,140.417460224,28,140.4174602240,0
121.531330048,-5.5,123.072440064,47.78125,140.517580032,29,140.5175800320,0
121.541330176,-5.5,123.092690176,47.78125,140.616710144,29,140.6167101440,0
121.551340032,-5.5,123.112570112,47.64375,140.716950016,28,140.7169500160,0
121.561330176,-5.5,123.132440064,47.64375,140.816820224,28,140.8168202240,0
121.571330048,-5.5,123.152570112,47.64375,140.917580032,28,140.9175800320,0
121.581330176,-5.5,123.172580096,47.7125,,,,
121.591340032,-5.5,123.192440064,47.50625,,,,
121.601330176,-5.5,123.212940032,47.64375,,,,
121.611330048,-5.5,123.232570112,47.7125,,,,
121.62134016,-5.5,123.25307008,47.78125,,,,
121.631340032,-5.5,123.272570112,47.85,,,,
121.641330176,-5.5,123.292940032,47.91875,,,,
121.651450112,-5.5,123.312560128,47.91875,,,,
121.66134016,-5.5,123.332570112,47.91875,,,,
121.671330048,-5.5,123.352570112,47.85,,,,
121.681460224,-5.5,123.372560128,47.78125,,,,
121.691460096,-5.5,123.392570112,47.91875,,,,
121.701459968,-5.5,123.412560128,47.9875,,,,
121.711450112,-5.5,123.432570112,48.05625,,,,
121.721449984,-5.5,123.452570112,48.125,,,,
121.731460096,-5.5,123.472560128,48.125,,,,
121.741449984,-5.5,123.492940032,47.91875,,,,
121.751460096,-5.5,123.512560128,47.91875,,,,
121.761449984,-5.5,123.53307008,48.125,,,,
121.771460096,-5.5,123.552570112,48.2625,,,,
121.781459968,-5.5,123.572940032,48.2625,,,,
121.791460096,-5.5,123.592440064,48.19375,,,,
121.801460224,-5.5,123.612560128,48.2625,,,,
121.811450112,-5.5,123.632440064,48.2625,,,,
121.821449984,-5.5,123.652560128,48.2625,,,,
121.831460096,-5.5,123.672440064,48.2625,,,,
121.841460224,-5.5,123.692450048,48.2625,,,,
121.851460096,-5.5,123.712560128,48.4,,,,
121.861449984,-5.5,123.732440064,48.46875,,,,
121.871460096,-5.5,123.752440064,48.2625,,,,
121.881449984,-5.5,123.772440064,48.2625,,,,
121.891460096,-5.4,123.792560128,48.46875,,,,
121.901449984,-5.4,123.812560128,48.60625,,,,
121.911450112,-5.4,123.832440064,48.5375,,,,
121.921449984,-5.3,123.852940032,48.4,,,,
121.931460096,-5.3,123.872560128,48.33125,,,,
121.941449984,-5.2,123.89243008,48.5375,,,,
121.951460096,-5.2,123.91243008,48.60625,,,,
121.961449984,-5.2,123.932570112,48.60625,,,,
121.971450112,-5.1,123.952440064,48.60625,,,,
121.981459968,-5.1,123.972440064,48.60625,,,,
121.991450112,-5.1,123.992570112,48.60625,,,,
122.001480192,-5,124.01243008,48.60625,,,,
122.011450112,-5,124.03243008,48.5375,,,,
122.021449984,-4.9,124.052940032,48.675,,,,
122.031460096,-4.9,124.072560128,48.8125,,,,
122.041449984,-4.9,124.09243008,48.8125,,,,
122.051460096,-4.9,124.11243008,48.74375,,,,
